user_id,date,segment,readiness_score,sleep_score,activity_score,readiness_category,hrv_balance,recovery_index,sleep_balance,activity_balance,body_temp_score,hrv_ms,resting_hr_bpm,body_temp_dev_c,hrv_category,temp_status,duration_h,deep_sleep_h,rem_sleep_h,light_sleep_h,awake_h,deep_pct,rem_pct,bedtime_hour,sleep_category,steps,calories_total,active_minutes,goal_steps,goal_hit,steps_category,workout_detected,workout_type
1,2026-02-21,Self-Optimizer,58,79,100,Medium,21,60,76,100,98,49.1,53.2,-0.04,Medium,Normal,7.73,1.29,1.93,3.95,0.57,16.7,25.0,23.8,Good,10152,2041,75,10000,true,Good,true,Run
1,2026-02-22,Self-Optimizer,58,75,100,Medium,29,57,69,100,86,57.9,52.0,0.34,Medium,Normal,7.95,1.46,1.32,4.57,0.61,18.4,16.6,23.3,Good,10087,1953,79,10000,true,Good,false,
1,2026-02-23,Self-Optimizer,58,73,100,Medium,19,59,73,98,89,49.9,48.4,0.24,Medium,Normal,7.32,1.29,1.47,4.33,0.22,17.6,20.1,22.3,Medium,9529,1971,68,10000,false,Medium,false,
1,2026-02-24,Self-Optimizer,67,80,100,Medium,41,67,80,100,85,67.6,48.5,0.39,Good,Normal,7.59,1.52,1.58,4.28,0.21,20.0,20.8,0.6,Good,11495,2180,93,10000,true,Good,true,Yoga
1,2026-02-25,Self-Optimizer,67,87,100,Medium,34,68,85,100,87,58.1,48.4,-0.35,Medium,Normal,8.59,1.54,2.05,4.41,0.59,17.9,23.9,24.0,Good,1695,1519,26,10000,false,Low,false,
1,2026-02-26,Self-Optimizer,72,88,100,Medium,41,76,88,96,96,69.7,47.7,0.09,Good,Normal,7.78,1.93,1.70,3.90,0.26,24.8,21.9,23.6,Good,10549,2184,83,10000,true,Good,false,
1,2026-02-27,Self-Optimizer,66,89,100,Medium,35,66,91,92,98,55.1,51.5,-0.05,Medium,Normal,8.55,2.36,1.51,4.04,0.63,27.6,17.7,22.7,Good,12174,1990,96,10000,true,Good,true,Strength
1,2026-02-28,Self-Optimizer,64,76,100,Medium,29,66,74,100,96,58.0,52.2,0.08,Medium,Normal,8.35,1.32,1.48,5.18,0.37,15.8,17.7,23.1,Good,9303,2017,63,10000,false,Medium,true,Yoga
1,2026-03-01,Self-Optimizer,78,95,100,Good,47,84,98,97,99,72.4,49.2,-0.08,Good,Normal,7.93,1.89,2.25,3.22,0.57,23.8,28.4,0.3,Good,13238,2269,102,10000,true,Good,true,Run
1,2026-03-02,Self-Optimizer,68,90,100,Medium,39,71,95,100,85,63.9,46.9,-0.37,Good,Normal,8.29,1.43,2.39,4.07,0.40,17.2,28.8,23.7,Good,8414,2115,62,10000,false,Medium,false,
1,2026-03-03,Self-Optimizer,52,75,100,Medium,9,55,82,97,93,40.3,49.8,-0.10,Medium,Normal,8.39,1.64,1.26,5.14,0.35,19.5,15.0,0.1,Good,7950,1806,72,10000,false,Medium,false,
1,2026-03-04,Self-Optimizer,68,86,100,Medium,30,69,88,100,96,59.2,47.7,0.10,Medium,Normal,7.90,1.63,2.05,3.64,0.58,20.6,25.9,23.2,Good,2985,1720,28,10000,false,Low,false,
1,2026-03-05,Self-Optimizer,63,83,100,Medium,27,67,86,98,94,54.0,54.0,0.00,Medium,Normal,7.78,1.46,2.01,3.75,0.55,18.8,25.8,22.8,Good,11958,2061,88,10000,true,Good,true,Cycling
1,2026-03-06,Self-Optimizer,60,75,100,Medium,21,59,73,100,77,48.2,48.6,0.62,Medium,Elevated,8.31,1.55,1.53,4.85,0.37,18.7,18.4,22.2,Good,10793,2058,74,10000,true,Good,true,Cycling
1,2026-03-07,Self-Optimizer,74,88,100,Medium,34,74,84,100,91,65.5,47.2,-0.14,Good,Normal,7.97,1.97,1.62,3.87,0.51,24.7,20.3,22.5,Good,10188,1682,75,10000,true,Good,false,
